label,content
0,“安妮一定喜欢星巴克，因为所有白人女孩都喜欢星巴克。”
0,拉斯维加斯今年比去年暖和；因此，全球变暖正在迅速加速。
0,“我在UF上的两门课程都不太有趣。我认为这不是一所好大学。”
0,一名持有纽约牌照的司机在交通中拦住了你。你认为所有纽约司机都是糟糕的司机。
0,“五分之四的牙医推荐快乐光泽牙膏。因此，它一定很棒。”
0,你家没人冲浪？但我想你说过你之前住在加州。
0,所有的女人都是坏司机。
0,你访问了一个新的国家，在机场遇到的第一个人很粗鲁。你给家乡的朋友发了一条信息，说这个新国家的每个人都很粗鲁。
0,凯文的祖父母不知道如何使用电脑。凯文认为所有的老年人都必须是电脑文盲。
0,男人从不问路
0,如果你吃得好，你就永远不会心脏病发作。
0,人人都知道青少年很懒
0,MeowMeowTweet是美国制造的护肤品。我用过它，它让我长青春痘。美国制造的护肤品会让人长痘痘。
0,所有的老师都喝咖啡，老师都是人；因此，所有人都喝咖啡。
0,所有四岁的孩子都说得太多了。
0,我遇到一个喜欢吃奶酪的高个子男人。现在我相信所有高个子都喜欢奶酪。
0,我认识三个脾气很坏的红发女郎，因为安娜贝尔有一头红发，我敢打赌她脾气也很坏。
0,我们认为这个新的MallTime游戏应用程序会很成功，因为所有女孩都喜欢购物。
0,来自大城市的人不如来自小城镇的人友好。
0,我哥哥亨扎吃奶酪汉堡和披萨。他很瘦。奶酪汉堡和披萨不是肥胖的原因。
0,“我的室友法蒂玛说她的哲学课很难，我现在上的哲学课也很难。所有的哲学课都必须很难！”坚持巴宁。
0,我刚和一个南方人打电话，我几乎跟不上！所有南方人说话都很快。
0,我有几个女性朋友，她们每个人都喜欢乡村音乐。所有女性都喜欢乡村音乐。
0,那种车做得很差；我的一个朋友有一个，它不断给他带来麻烦。
0,每个人都喜欢后马龙，至少能说出他的一首歌！
0,“那栋新房子看起来很棒！让我们买下它吧！”
0,杰夫正准备为一种新的能量饮料做广告。他访问了当地的一所高中，调查了英语班的学生对饮料的偏好。全班大多数人都说他们更喜欢葡萄口味的饮料，所以杰夫告诉他的上司，葡萄是高中生最喜欢的口味。杰夫在推理上犯了什么错误？
0,我们认为这个新的MallTime游戏应用程序会很成功，因为所有的小女孩都喜欢购物。
0,昨天我在班上看到一个学生发短信；我所有的学生都在发短信，所以手机应该被禁止。
0,“我在哈佛上的两门课程都不太有趣。我认为这不是一所好大学。”
0,“鸟会飞，所以企鹅会飞。”
0,我不明白为什么人们抱怨在这个就业市场很难找到工作。我女儿和我顺利找到了工作。
0,今天早上在我上班的路上，一个骑自行车的女人差点把我从人行道上撞下来。我还没意识到骑自行车的人如此咄咄逼人、粗鲁无礼！
0,即使不看电影，我也知道它不会像书一样好。
0,“《远离痛苦》对我有用，所以它也一定对你有用。”
0,政府确信是炸弹击落了飞机。总统说：“我们的国民相信这是一枚炸弹。”。“坠机几天后进行的一项调查表明，几乎70%的人认为这是恐怖分子的炸弹。”
0,所有憎恨杜特尔特政府的人都是CPP-NPA的支持者。
0,米勒太太教过你哥哥，他是班上的小丑。她决定从上课的第一天起就严格要求你，因为她认为你也会是一个小丑。
0,约翰·F·肯尼迪：我不满意美国去年的经济增长率是世界上任何主要工业化社会中最低的……（开场白）理查德·尼克森：例如，我们今晚听到的声明说，我们去年的国民生产总值增长率是全世界任何工业国家中最低的。当然，去年是1958年，恰巧是经济衰退的一年。但是，当我们观察今年的国民生产总值增长，这是一个复苏的年份，我们发现这是百分之六点九，是当今世界最高的增长之一……（开场白）1960年9月26日，伊利诺伊州芝加哥，肯尼迪用了什么逻辑谬误？
0,“你不应该去‘沃米托’，我去过一次，那里的食物很糟糕。”
0,“避开拉坦航空公司。他们的飞机总是晚点”
0,我最好的两个朋友都很内向、害羞，他们都有猫。这让我相信大多数爱猫人士都很害羞。
0,这本书我只读了几页，我已经发现了一个错别字。我不可能读剩下的垃圾。
0,克里斯汀和一个男朋友有一段糟糕的经历。她认为所有的男孩都很刻薄。
0,我们认为Maltime会很成功，因为所有的小女孩都喜欢购物。
0,我来自缅因州的室友喜欢吃龙虾，所以所有缅因州人都喜欢吃龙。
0,咬的蜘蛛是毒药，所以所有的蜘蛛都是毒药。
0,这个孩子没有做家务，所以所有的孩子都很懒。
0,因此，所有的青少年都是粗鲁无礼的。
0,我班上这个戴眼镜的家伙总是在课堂上讲话，所以所有戴眼镜的人都很健谈。
0,我昨天遇到一个来自法国的粗鲁人。我想所有法国人都很粗鲁。
0,克里斯汀和一个男朋友有一段糟糕的经历。她认为所有的男孩都很刻薄。
0,“因为年轻男性司机发生车祸的可能性是男性司机的两倍，所以他们应该支付更多的车险费用。”
0,新闻机构是假新闻？
0,艾莉莎和一个足球运动员上课，他是班上的小丑。他扰乱了课堂，正在失败。艾莉莎认为所有的足球运动员都不是认真的学生。
0,德国人弗雷德偷了我的钱包。因此，所有德国人都是小偷。
0,五分之四的牙医推荐Happy Glossy Smiley牙膏品牌。因此，它一定很棒。
0,“尽管这只是第一天，但我可以看出这将是一门枯燥的课程。”
0,南方人说话很快。我刚和一个打电话，我几乎跟不上了！
0,我有一辆红色的车。我的车出了车祸。因此，所有的红色汽车都会被撞毁。
0,“悉尼没有什么好餐馆；我试了两家，都很糟糕。”
0,根据对群体、阶级或种族的判断得出的错误意见来定义一个人
0,金发女郎为什么过马路？因为她看到了一场鞋子大甩卖！
0,每个获得大学学位的人都会过得更好。所有因获得学位而过得更好的人都是很好的交谈对象。因此，每个获得大学学位的人都是一个很好的交谈对象。
0,戴眼镜的人更聪明。
0,所有的狗都会上天堂。
0,所有高个子都是好篮球运动员。
0,1=数字；2=数字；因此1＝2。
0,女人做不到男人那么好的工作。
0,所有住在英国的人都有坏牙。
0,AP前的孩子聪明且富有创造力。
